,median,low_err,high_err
e_i_peak,492.43231897977046,61.08105416777482,58.74124788173083
e_isotropic,1.3219007532855726e+46,9.247019570192415e+44,8.221899279302735e+44
e_i_peak,670.312785394535,81.1878521576466,80.91408606519781
e_isotropic,3.4914185595901157e+47,2.412409824260705e+46,2.0509729133434277e+46
e_i_peak,897.0523102853651,111.52412685816375,102.65117271960992
e_isotropic,1.3519494517040529e+48,8.992454462536784e+46,7.669074343544751e+46
e_i_peak,1345.7719933282942,164.3411606879199,154.31300790227033
e_isotropic,4.594563690046892e+48,2.9399832972812283e+47,2.4692489098830282e+47
e_i_peak,1795.4977611218042,219.9980762009502,209.1121009278977
e_isotropic,8.636320203079353e+48,5.32441419979033e+47,4.40375892277134e+47
e_i_peak,2240.7276719141955,268.9719741815925,263.2001683349281
e_isotropic,1.297420854746937e+49,7.54541273931945e+47,6.434985872544901e+47
e_i_peak,2689.5164734991395,343.1305067084613,315.75902873609
e_isotropic,1.738629229168837e+49,1.0179990473753803e+48,8.401757349151241e+47
e_i_peak,3144.252381233502,398.34036155391095,362.4673377186973
e_isotropic,2.177753667899579e+49,1.2217106433490318e+48,1.0165276958516095e+48
e_i_peak,3582.959167962716,438.49301527105126,417.94022360897634
e_isotropic,2.606088067818561e+49,1.3998492549142318e+48,1.147456128777654e+48
e_i_peak,4037.447633828799,505.5724140387574,471.9983174725567
e_isotropic,3.019689525845614e+49,1.540134126966923e+48,1.3025933600184572e+48
e_i_peak,4480.830871842703,543.7829237871892,528.3457246012067
e_isotropic,3.41822704291003e+49,1.7257703862768488e+48,1.443469952034292e+48
e_i_peak,4925.667932583246,611.4602618252338,585.0615985272243
e_isotropic,3.800445204544889e+49,1.8281697321093457e+48,1.5013236091634198e+48
