,median,low_err,high_err
e_i_peak,492.4471378192582,60.02226120675596,58.65407223141682
e_isotropic,1.32195476126433e+46,9.29246984014224e+44,8.195603298416587e+44
e_i_peak,671.9750957009388,81.51732734572965,79.4674796501024
e_isotropic,3.4914618329368773e+47,2.3889693761075225e+46,2.1117484436736104e+46
e_i_peak,897.2984903530689,109.2234607915534,104.1093723553496
e_isotropic,1.3528864429293948e+48,8.954507839913929e+46,7.535255529672797e+46
e_i_peak,1344.2021509580964,164.5060405719223,160.99141840914444
e_isotropic,4.593881941302092e+48,2.875143792664599e+47,2.4878439741746417e+47
e_i_peak,1792.2437673182676,219.91144861692305,207.84860805528345
e_isotropic,8.637234770403233e+48,5.254604345024519e+47,4.460783724232585e+47
e_i_peak,2245.74919710136,279.4768889763013,258.59115566309265
e_isotropic,1.299237560700418e+49,7.885810614248766e+47,6.3277133356745984e+47
e_i_peak,2684.943667094145,328.8498237658923,312.4871128392383
e_isotropic,1.739520202895574e+49,9.906254105572516e+47,8.221286169533835e+47
e_i_peak,3131.394623251943,389.6348188347756,363.099030362208
e_isotropic,2.175521014098059e+49,1.199437340675199e+48,1.0332841034653493e+48
e_i_peak,3577.0075000893094,437.0927294133553,423.0470476858777
e_isotropic,2.6043163068404483e+49,1.3864655785775459e+48,1.1343966596132069e+48
e_i_peak,4032.327355497194,501.4010908744349,476.1901496420792
e_isotropic,3.0200736354921616e+49,1.5880240430720618e+48,1.2800279765001033e+48
e_i_peak,4480.8732658872095,546.2180029277256,517.4403862124
e_isotropic,3.4204780635744377e+49,1.701595128990326e+48,1.396116761884753e+48
e_i_peak,4927.652824395751,605.8961078270877,585.1554236927777
e_isotropic,3.801544030212804e+49,1.8488183368347597e+48,1.571125702730475e+48
